Estado,Fecha,Tasa_Predicha
Guerrero,2026-06-01,3.153843660097003
Hidalgo,2026-01-01,2.0455874923555526
Hidalgo,2026-02-01,2.0179103647821237
Hidalgo,2026-03-01,1.9902332372086944
Hidalgo,2026-04-01,1.9625561096352655
Hidalgo,2026-05-01,1.9348789820618366
Hidalgo,2026-06-01,1.9072018544884077
Jalisco,2026-01-01,3.087349808661284
Jalisco,2026-02-01,3.0853324519494416
Jalisco,2026-03-01,3.083315095237599
Jalisco,2026-04-01,3.0812977385257563
Jalisco,2026-05-01,3.0792803818139136
Jalisco,2026-06-01,3.0772630251020714
Michoacán de Ocampo,2026-01-01,5.42989238740534
Michoacán de Ocampo,2026-02-01,5.448265912137791
Michoacán de Ocampo,2026-03-01,5.466639436870242
Michoacán de Ocampo,2026-04-01,5.485012961602693
Michoacán de Ocampo,2026-05-01,5.503386486335144
Michoacán de Ocampo,2026-06-01,5.521760011067594
Morelos,2026-01-01,8.615661809339683
Morelos,2026-02-01,8.625231220906995
Morelos,2026-03-01,8.63480063247431
Morelos,2026-04-01,8.644370044041622
Morelos,2026-05-01,8.653939455608937
Morelos,2026-06-01,8.66350886717625
México,2026-01-01,3.690508619287689
México,2026-02-01,3.6957275018850075
México,2026-03-01,3.700946384482325
México,2026-04-01,3.7061652670796437
México,2026-05-01,3.7113841496769617
México,2026-06-01,3.7166030322742802
Nayarit,2026-01-01,3.182356819807019
Nayarit,2026-02-01,3.221792212375335
Nayarit,2026-03-01,3.2612276049436497
Nayarit,2026-04-01,3.3006629975119655
Nayarit,2026-05-01,3.3400983900802808
Nayarit,2026-06-01,3.3795337826485965
Nuevo León,2026-01-01,4.0289414525479
Nuevo León,2026-02-01,4.044028782947521
Nuevo León,2026-03-01,4.059116113347141
Nuevo León,2026-04-01,4.074203443746762
Nuevo León,2026-05-01,4.089290774146383
Nuevo León,2026-06-01,4.104378104546003
Oaxaca,2026-01-01,4.882820260971521
Oaxaca,2026-02-01,4.868144333384975
Oaxaca,2026-03-01,4.853468405798429
Oaxaca,2026-04-01,4.838792478211882
Oaxaca,2026-05-01,4.824116550625336
Oaxaca,2026-06-01,4.809440623038789
Puebla,2026-01-01,2.1836646402347952
